@contest "XLII St. Petersburg State University Championship, Sunday, October 11, 2015"
@startat 11.10.2015 12:15:00
@contlen 300
@now 1936381
@state RESULTS
@freeze 300
@problems 12
@teams 32
@submissions 391
@comment @pragma IgnoreCE
@comment @pragma HideUnfrozenCount
@p A,Bubbles,20,0
@p B,Drop7,20,0
@p C,Eulerian Graphs,20,0
@p D,At Least Half,20,0
@p E,Next Partition in RLE Notation,20,0
@p F,Equation,20,0
@p G,Swap-Plus Puzzle,20,0
@p H,Wrong Sieve,20,0
@p I,Space Cat,20,0
@p J,Tic-Tac-Toe Variation,20,0
@p K,Captain Tarjan,20,0
@p L,Gardening Lesson,20,0
@t 01,0,1,"mmdny (Бабенко, Малышева, Самсонов) (шк)"
@s 15,J,4,12226,WA,9
@s 14,A,3,12253,WA,3
@s 39,I,5,12287,OK
@s 29,H,1,12302,OK
@s 05,D,5,12323,WA,8
@s 31,D,1,12375,WA,11
@s 05,D,6,12384,WA,10
@s 19,I,3,12392,WA,5
@s 25,I,5,12453,WA,1
@s 20,E,5,12517,OK
@s 05,D,7,12520,TL,91
@s 25,I,6,12571,WA,17
@s 35,J,2,12572,WA,1
@s 05,D,8,12651,OK
@s 13,I,3,12680,WA,10
@s 35,J,3,12681,WA,9
@s 34,J,1,12704,PE,1
@s 15,I,4,12746,RT,16
@s 26,J,3,12758,OK
@s 15,I,5,12784,WA,17
@s 03,A,4,12790,OK
@s 34,J,2,12863,PE,1
@s 15,I,6,12936,WA,17
@s 11,A,6,13030,OK
@s 38,F,2,13037,OK
@s 12,J,1,13038,WA,1
@s 21,J,1,13053,WA,8
@s 16,G,1,13106,WA,8
@s 16,E,2,13297,WA,4
@s 34,J,3,13310,OK
@s 13,L,2,13351,WA,16
@s 16,E,3,13635,OK
@s 32,J,1,13697,OK
@s 37,A,5,13702,WA,3
@s 26,I,2,13887,WA,5
@s 11,E,3,13955,WA,31
@s 28,I,1,13960,WA,2
@s 28,I,2,14006,WA,10
@s 10,J,1,14056,WA,3
@s 15,I,7,14076,OK
@s 13,L,3,14108,WA,16
@s 37,I,7,14123,WA,11
@s 24,A,1,14127,WA,3
@s 37,I,8,14212,OK
@s 15,J,5,14231,PE,4
@s 38,K,1,14254,OK
@s 12,H,1,14266,RT,12
@s 37,A,6,14305,WA,3
@s 16,G,2,14429,WA,8
@s 12,H,2,14430,RT,12
@s 15,J,6,14496,OK
@s 01,A,1,14552,OK
@s 28,I,3,14602,WA,1
@s 12,H,3,14897,OK
@s 10,J,2,15039,WA,3
@s 26,I,3,15097,WA,5
@s 05,K,1,15133,OK
@s 35,I,7,15193,WA,10
@s 23,J,1,15199,IL,1
@s 16,G,3,15266,OK
@s 28,I,4,15271,WA,10
@s 11,E,4,15370,WA,1
@s 17,I,1,15400,WA,5
@s 11,E,5,15424,OK
@s 21,J,2,15449,WA,8
@s 12,J,2,15457,PE,5
@s 10,J,3,15525,OK
@s 23,J,2,15540,WA,3
@s 37,A,7,15551,WA,3
@s 13,L,4,15777,WA,16
@s 39,H,1,15782,OK
@s 17,I,2,15820,WA,5
@s 13,I,4,15943,WA,10
@s 17,I,3,15951,WA,5
@s 09,J,1,15952,TL,1
@s 31,K,1,16003,OK
@s 23,J,3,16067,CE
@s 12,J,3,16075,PE,5
@s 37,J,1,16091,WA,3
@s 23,J,4,16115,CE
@s 23,J,5,16143,WA,5
@s 21,J,3,16163,WA,8
@s 34,I,6,16204,WA,1
@s 39,E,1,16301,WA,4
@s 34,I,7,16355,WA,1
@s 22,I,7,16483,CE
@s 07,I,5,16542,WA,5
@s 22,I,8,16548,WA,5
@s 23,J,6,16650,OK
@s 05,L,1,16792,RT,31
@s 37,J,2,16835,WA,1
@s 19,L,3,17004,WA,16
@s 37,A,8,17016,WA,3
@s 34,I,8,17018,WA,4
@s 05,L,2,17098,WA,32
@s 12,I,6,17176,WA,10
@s 19,I,4,17188,WA,5
@s 12,I,7,17224,WA,10
@s 10,A,1,17226,WA,3
@s 19,L,4,17306,WA,16
@s 03,E,1,17309,WA,3
@s 37,A,9,17320,TL,5
@s 05,L,3,17326,WA,27
@s 34,I,9,17334,WA,4
@s 37,A,10,17364,WA,3
@s 37,A,11,17405,TL,5
@s 12,I,8,17419,WA,18
@s 37,A,12,17436,TL,5
@s 38,B,1,17441,WA,1
@s 03,E,2,17442,WA,3
@s 37,A,13,17458,TL,5
@s 20,G,1,17470,WA,1
@s 05,L,4,17475,WA,27
@s 10,A,2,17476,WA,3
@s 37,A,14,17482,WA,3
@s 05,L,5,17505,WA,27
@s 37,A,15,17531,WA,3
@s 38,B,2,17549,OK
@s 37,A,16,17564,TL,5
@s 39,E,2,17596,WA,4
@s 20,G,2,17600,WA,8
@s 10,A,3,17619,WA,3
@s 37,A,17,17621,TL,5
@s 05,L,6,17645,WA,32
@s 21,J,4,17647,OK
@s 37,A,18,17654,WA,5
@s 35,A,1,17673,WA,3
@s 21,J,5,17677,OK
@s 07,I,6,17691,WA,5
@s 16,B,1,17692,WA,1
@s 05,L,7,17708,WA,27
@s 39,E,3,17717,RT,21
@s 19,I,5,17720,WA,5
@s 37,A,19,17721,WA,5
@s 10,A,4,17736,WA,3
@s 12,I,9,17743,OK
@s 07,I,7,17780,WA,5
@s 26,H,1,17794,TL,16
@s 10,A,5,17812,WA,3
@s 39,E,4,17825,RT,21
@s 37,A,20,17839,TL,5
@s 16,B,2,17842,TL,1
@s 37,A,21,17860,TL,5
@s 39,E,5,17863,RT,21
@s 20,G,3,17865,WA,8
@s 05,L,8,17872,RT,27
@s 10,A,6,17873,WA,3
@s 19,L,5,17882,WA,16
@s 37,A,22,17908,TL,5
@s 39,E,6,17917,RT,21
@s 37,A,23,17927,TL,5
@s 34,I,10,17957,WA,1
@s 37,A,24,17957,WA,3
@s 04,J,1,17962,CE
@s 39,E,7,17970,WA,1
@s 37,A,25,17973,WA,3
@s 19,I,6,17985,WA,5
@s 05,L,9,17989,WA,27
@s 37,A,26,17989,WA,3
@s 39,E,8,17995,WA,1
@s 10,A,7,17999,WA,3
